Genome,Contig_number
GCA_022538215,93
GCA_019879635,116
GCA_023546845,3
GCA_019957575,171
GCA_022869265,101
GCA_022977355,145
GCA_021342345,359
GCA_022765285,92
GCA_022973475,113
GCA_019879205,99
GCA_022489085,124
GCA_022975935,173
GCA_022494605,6
GCA_023061425,153
GCA_022547895,72
GCA_022220885,2
GCA_019839925,103
GCA_023197105,79
GCA_022489205,142
GCA_023059545,119
GCA_019508925,161
GCA_022758705,130
GCA_022493795,1
GCA_022058225,3
GCA_021343975,129
GCA_023061685,145
GCA_021341935,113
GCA_022385215,2
GCA_022869325,79
GCA_022973185,68
GCA_022811545,1
GCA_023243675,220
GCA_023476505,184
GCA_022546375,132
GCA_022424045,82
GCA_019428705,7
GCA_020734045,143
GCA_023061595,165
GCA_022694125,88
GCA_022591475,9
GCA_022029895,1
GCA_021228975,3
GCA_022423645,90
GCA_022975795,216
GCA_020886575,4
GCA_022370515,3
GCA_022972645,85
GCA_022488985,99
GCA_019282715,124
GCA_022493475,1
GCA_022694035,194
GCA_021383905,1
GCA_022546695,130
GCA_023653885,2
GCA_022977735,173
GCA_020169365,103
GCA_019509605,119
GCA_022972855,189
GCA_022423805,107
GCA_022558725,7
GCA_022977235,184
GCA_022975095,125
GCA_019585435,82
GCA_023061555,278
GCA_022494785,5
GCA_019730975,100
GCA_021184105,2
GCA_022546115,73
GCA_022765395,42
GCA_022541665,141
GCA_019880005,148
GCA_022493295,1
GCA_022494645,2
GCA_020861225,142
GCA_022493755,1
GCA_023059875,147
GCA_019509055,142
GCA_020168655,165
GCA_019879545,105
GCA_022493415,1
GCA_020168755,162
GCA_022759865,6
GCA_021342895,148
GCA_022976955,118
GCA_020883375,1
GCA_023059735,128
GCA_022546515,63
GCA_022494625,4
GCA_022369175,4
GCA_021352275,179
GCA_021559855,1
GCA_022765605,44
GCA_022760075,69
GCA_020168715,145
GCA_022544475,122
GCA_022974895,151
GCA_022975495,129
GCA_022761665,110
GCA_021398975,1
GCA_022591215,1
GCA_022765465,89
GCA_022971495,123
GCA_022975415,156
GCA_023206735,3
GCA_022759885,6
GCA_019957805,153
GCA_021887765,1030
GCA_021343835,139
GCA_020166635,204
GCA_023476625,118
GCA_022558785,6
GCA_021342235,363
GCA_022031095,1
GCA_019841325,97
GCA_021166395,2
GCA_022492995,1
GCA_019840625,114
GCA_022975875,85
GCA_019891255,165
GCA_021341955,123
GCA_022758425,191
GCA_021343565,102
GCA_019614825,3
GCA_021342555,225
GCA_021342675,133
GCA_022546225,77
GCA_023516095,5
GCA_022558945,3
GCA_022765125,153
GCA_022758785,165
GCA_021343475,149
GCA_020423145,3
GCA_022493575,1
GCA_022973335,100
GCA_023244075,186
GCA_021378315,3
GCA_022975515,169
GCA_022031015,1
GCA_022764685,75
GCA_022869295,182
GCA_019645995,1
GCA_019585115,141
GCA_020034575,1
GCA_021343625,84
GCA_022541755,116
GCA_022975615,267
GCA_019841205,125
GCA_022974155,100
GCA_022977585,103
GCA_020541025,6
GCA_020883315,1
GCA_020190405,1
GCA_020423225,2
GCA_022764795,65
GCA_020732515,90
GCA_022493375,1
GCA_022694245,102
GCA_023473015,138
GCA_023196245,48
GCA_019584555,13
GCA_020883515,2
GCA_019295095,344
GCA_019891215,228
GCA_022058205,3
GCA_022368815,5
GCA_022974795,107
GCA_023370175,5
GCA_023061655,190
GCA_022758445,169
GCA_019840065,44
GCA_021869565,1
GCA_020168865,148
GCA_019839385,52
GCA_023061615,190
GCA_019431315,2
GCA_022542395,159
GCA_023059815,380
GCA_022546295,82
GCA_019890855,2
GCA_021416305,168
GCA_019730785,115
GCA_022031055,1
GCA_022489485,144
GCA_021416585,191
GCA_022973155,121
GCA_022488205,1
GCA_022546015,120
GCA_021496445,3
GCA_019841625,78
GCA_023061465,142
GCA_021417055,185
GCA_019841045,84
GCA_019428665,6
GCA_019710415,7
GCA_022976295,130
GCA_022973965,115
GCA_021554655,1
GCA_020540985,6
GCA_019834355,77
GCA_019351215,190
GCA_022969925,163
GCA_022973035,158
GCA_019841705,116
GCA_019434375,5
GCA_022971575,77
GCA_020883395,1
GCA_022558665,7
GCA_021342135,193
GCA_019585005,125
GCA_022489705,134
GCA_022699465,7
GCA_020526765,1
GCA_022765215,109
GCA_022977135,161
GCA_022977205,171
GCA_019841565,144
GCA_022975945,99
GCA_023059925,133
GCA_019841525,135
GCA_021343415,187
GCA_023272775,7
GCA_022977195,208
GCA_019551815,2
GCA_021028465,119
GCA_019585225,83
GCA_022977575,184
GCA_019585045,32
GCA_023196435,80
GCA_022974295,118
GCA_020809385,3
GCA_023539035,4
GCA_021416985,225
GCA_023167605,5
GCA_021307345,1
GCA_022494665,1
GCA_022764865,66
GCA_022976755,156
GCA_019840345,120
GCA_022975315,127
GCA_019282875,128
GCA_021166435,2
GCA_022023775,1
GCA_022761545,142
GCA_022765625,54
GCA_022919055,2
GCA_022970685,131
GCA_023243565,202
GCA_022972695,93
GCA_022973275,139
GCA_019583955,1
GCA_019443605,6
GCA_022976155,146
GCA_022493515,1
GCA_020149605,3
GCA_019976915,2
GCA_020051475,186
GCA_022976655,100
GCA_020526745,1
GCA_019583965,143
GCA_022494765,7
GCA_021342635,119
GCA_019879955,91
GCA_022977655,167
GCA_023197015,58
GCA_022765035,163
GCA_021503955,110
GCA_022423885,133
GCA_021343855,164
GCA_020526805,1
GCA_022764655,59
GCA_022765485,68
GCA_021342085,175
GCA_019584685,52
GCA_020026995,106
GCA_022694205,385
GCA_022493635,1
GCA_022976055,164
GCA_022546315,70
GCA_020668935,94
GCA_022973995,151
GCA_022758625,91
GCA_022975985,186
GCA_021342505,171
GCA_021513335,2
GCA_019839865,121
GCA_019957355,183
GCA_021399015,1
GCA_022971515,133
GCA_023206615,3
GCA_022493175,1
GCA_022977445,239
GCA_023196005,90
GCA_019958195,155
GCA_019551835,2
GCA_019428585,1
GCA_020683045,3
GCA_021383885,1
GCA_021343115,176
GCA_023059915,132
GCA_022974425,144
GCA_022765505,89
GCA_022971535,85
GCA_019351355,193
GCA_023526855,131
GCA_019879155,141
GCA_023196825,57
GCA_023196535,87
GCA_023196945,59
GCA_019509435,142
GCA_020424045,3
GCA_022973115,100
GCA_022493115,1
GCA_022546125,60
GCA_022972605,158
GCA_022765005,104
GCA_023243425,182
GCA_021343665,137
GCA_021342935,96
GCA_022558685,5
GCA_020410665,1
GCA_022977295,213
GCA_022542015,195
GCA_019879645,102
GCA_019584665,19
GCA_019891275,171
GCA_019584445,61
GCA_022764845,28
GCA_023476365,176
GCA_023061495,155
GCA_022695865,4
GCA_022493555,1
