Genome,Contig_number
GCA_030038515,6
GCA_027696005,82
GCA_027944855,7
GCA_030208515,114
GCA_030207965,72
GCA_030037835,7
GCA_029536635,4
GCA_027925505,3
GCA_030142475,1
GCA_026506375,3
GCA_024300765,2
GCA_025792435,147
GCA_030296235,5
GCA_025792095,41
GCA_028201655,2
GCA_030039395,5
GCA_028436245,123
GCA_029536615,8
GCA_029359905,98
GCA_025176285,86
GCA_030325125,111
GCA_029360265,187
GCA_024330025,3
GCA_027674465,181
GCA_030208505,98
GCA_024585885,3
GCA_030295485,3
GCA_030015535,112
GCA_026612895,157
GCA_027888515,151
GCA_025657945,84
GCA_029854535,7
GCA_030208475,89
GCA_029676945,224
GCA_029635835,1
GCA_028436495,117
GCA_028215995,9
GCA_024735245,4
GCA_025995735,3
GCA_025369855,5
GCA_028524655,185
GCA_030207815,117
GCA_030166535,3
GCA_030324785,82
GCA_027887475,116
GCA_024300785,2
GCA_024300705,3
GCA_030328345,108
GCA_028524915,121
GCA_028525645,117
GCA_030036655,2
GCA_026001065,5
GCA_029360185,141
GCA_030208655,62
GCA_023657955,5
GCA_030013475,5
GCA_029962285,4
GCA_030063865,7
GCA_030024545,262
GCA_030013105,5
GCA_030024615,203
GCA_024496025,2
GCA_029133535,103
GCA_030162155,8
GCA_026612855,148
GCA_025629265,76
GCA_027925685,6
GCA_025567645,194
GCA_030036835,3
GCA_024023075,2
GCA_030178015,142
GCA_027706665,206
GCA_030012645,4
GCA_030325165,94
GCA_024585465,4
GCA_030325145,92
GCA_030028195,1
GCA_026119875,2
GCA_030208605,66
GCA_027888755,193
GCA_030012785,6
GCA_030028175,1
GCA_028524475,171
GCA_025336665,161
GCA_024917735,7
GCA_025336465,169
GCA_027888935,222
GCA_030324765,119
GCA_030295585,8
GCA_030012765,9
GCA_026074235,3
GCA_025751035,69
GCA_030169335,5
GCA_027945175,2
GCA_024585725,2
GCA_030013165,9
GCA_024300685,6
GCA_030142415,1
GCA_029594315,114
GCA_028525605,100
GCA_025399135,2
GCA_029360225,134
GCA_030178135,98
GCA_030207955,73
GCA_030063845,5
GCA_026612945,159
GCA_027695675,85
GCA_028752735,4
GCA_025583565,6
GCA_029594535,73
GCA_029987755,2
GCA_028551585,5
GCA_028752695,4
GCA_029360065,238
GCA_029988835,2
GCA_024585545,5
GCA_030024925,184
GCA_025200635,4
GCA_030013325,3
GCA_027888445,116
GCA_024584885,2
GCA_029988575,2
GCA_028436135,247
