Genome,Contig_number
GCA_032743715,155
GCA_032490215,184
GCA_900481665,76
GCA_902807125,134
GCA_900636045,1
GCA_900478785,53
GCA_030996425,8
GCA_032998425,1
GCA_030708195,4
GCA_032816465,159
GCA_904810135,61
GCA_032490055,124
GCA_904866455,5
GCA_032336925,120
GCA_900481335,94
GCA_929616985,52
GCA_030717525,2
GCA_900166695,262
GCA_030384705,1
GCA_032375205,2
GCA_900480735,53
GCA_900478535,42
GCA_030442495,308
GCA_900478935,62
GCA_900537015,51
GCA_900236035,170
GCA_963556665,177
GCA_904842295,35
GCA_030377065,1
GCA_030389295,4
GCA_900479865,132
GCA_033802425,2
GCA_032740995,163
GCA_900195875,63
GCA_905331185,7
GCA_900478835,41
GCA_032490415,110
GCA_032337495,69
GCA_030541555,110
GCA_949786345,4
GCA_033899285,159
GCA_900119685,2
GCA_900479775,48
GCA_900479015,48
GCA_032229265,1
GCA_904842345,56
GCA_900480755,53
GCA_033900485,151
GCA_900480215,55
GCA_904863385,3
GCA_900480115,88
GCA_900479295,75
GCA_030515255,5
GCA_900480175,69
GCA_900195915,87
GCA_900490185,49
GCA_963575485,3
GCA_904866225,3
GCA_032745175,162
GCA_900479915,77
GCA_900479935,39
GCA_031542305,3
GCA_032376495,311
GCA_902807205,158
GCA_900096865,1
GCA_949786325,4
GCA_900480375,95
GCA_032742575,165
GCA_032290865,414
GCA_900479195,51
GCA_030481555,190
GCA_900481385,87
GCA_032744835,208
GCA_033114265,2
GCA_030553115,4
GCA_900618295,1
GCA_902161585,106
GCA_900479575,143
GCA_032290645,126
GCA_030988915,3
GCA_904809645,62
GCA_032490315,126
GCA_900479625,75
GCA_033802465,5
GCA_902825205,1
GCA_031824935,188
GCA_963556675,168
GCA_900622685,3
GCA_902810315,1
GCA_034642855,2
GCA_030553135,3
GCA_929606205,64
GCA_900479075,84
GCA_900480545,44
GCA_902810365,1
GCA_904809825,35
GCA_032375185,3
GCA_900480395,62
GCA_033341475,156
GCA_900480425,93
GCA_900480995,91
GCA_031542985,3
GCA_904810015,44
GCA_030419025,3
GCA_031675355,2
GCA_030708395,3
GCA_030708215,2
GCA_904809705,48
GCA_900482415,92
GCA_900478885,107
GCA_031825155,139
GCA_033341415,158
GCA_904842665,2
GCA_034719315,95
GCA_030346615,11
GCA_031875365,6
GCA_030413785,6
GCA_031661555,4
GCA_900479565,40
GCA_949786365,3
GCA_030389695,5
GCA_900636245,1
GCA_900482585,52
GCA_904810305,56
GCA_032335955,578
GCA_030908665,3
GCA_900479055,53
GCA_034044095,166
GCA_030707955,2
GCA_900480255,118
GCA_033901025,176
GCA_900481155,78
GCA_901733115,4
GCA_032747475,162
GCA_900490475,78
GCA_900096815,1
GCA_030481525,153
GCA_900479135,109
GCA_900479605,65
GCA_032747815,189
GCA_030717825,2
GCA_900478545,73
GCA_904842535,80
GCA_900482075,123
GCA_030732465,143
GCA_033970745,3
GCA_030515555,3
GCA_900635635,1
GCA_030364415,147
GCA_900481875,48
GCA_904809915,37
GCA_900482305,93
GCA_900490285,116
GCA_910576075,35
GCA_033843365,26
GCA_904711305,2
GCA_900490155,135
GCA_030384825,2
GCA_900490225,52
GCA_904809865,40
GCA_902161765,100
GCA_034365625,106
GCA_900478605,49
GCA_030388645,4
GCA_900480345,96
GCA_900482495,56
GCA_030481445,157
GCA_900480485,103
GCA_030734165,2
GCA_030345575,1
GCA_033341535,153
GCA_900096795,1
GCA_030515515,4
GCA_900096845,1
GCA_900479495,85
GCA_900166865,1628
GCA_900195835,102
GCA_900092615,1
GCA_963556625,99
GCA_035064065,245
GCA_900481475,72
GCA_030346245,12
GCA_900490255,89
GCA_904831875,6
GCA_904810085,92
GCA_963575475,5
GCA_900096805,1
GCA_900480675,49
GCA_900479765,97
GCA_900479835,87
GCA_900482285,95
GCA_900622665,3
GCA_904809975,34
GCA_900195895,53
GCA_032745995,241
GCA_032740615,249
GCA_030520165,3
GCA_032375085,3
GCA_900480695,89
GCA_904809745,141
GCA_032747305,212
GCA_904809955,56
GCA_032300135,9
GCA_904842335,43
GCA_032375225,6
GCA_900479035,24
GCA_033344135,103
GCA_030442515,358
GCA_033341595,158
GCA_900478905,115
GCA_900636105,1
GCA_900481025,88
GCA_900480555,84
GCA_030481455,153
GCA_900042775,81
GCA_033406235,8
GCA_900481945,96
GCA_905330275,9
GCA_900196065,89
GCA_900479805,79
GCA_031543765,1
GCA_951803545,4
GCA_902160895,67
GCA_032742875,155
GCA_900480195,107
GCA_902164555,92
GCA_900236065,118
GCA_904842265,40
GCA_900480745,62
GCA_900482185,66
GCA_032970605,100
GCA_032295845,6
GCA_033341615,161
GCA_900636215,1
GCA_900479425,160
GCA_030515495,2
GCA_030389775,8
GCA_963556605,156
GCA_032747775,160
GCA_033341235,168
GCA_902810275,1
GCA_035064385,214
GCA_900482345,90
GCA_032681165,1
GCA_900166705,139
GCA_900480535,108
GCA_031357085,2
GCA_963556615,175
GCA_030515615,4
GCA_033971045,2
GCA_963556545,228
GCA_900478495,114
GCA_904866305,6
GCA_905218875,3
GCA_032293625,2
GCA_900481165,52
GCA_031534425,3
GCA_033341315,136
GCA_034719305,153
GCA_031174625,1
GCA_032490095,168
GCA_031630515,98
GCA_031193405,176
GCA_904810285,33
GCA_030346165,19
GCA_900481735,72
GCA_032490295,104
GCA_030515575,3
GCA_904810295,38
GCA_032746075,226
GCA_033341275,126
GCA_031193435,218
GCA_033341395,153
GCA_904842615,34
GCA_900480795,50
GCA_904842585,122
GCA_900480405,84
GCA_900636055,1
GCA_900481325,98
GCA_032336175,576
GCA_030586485,42
GCA_031193665,225
GCA_904810405,81
GCA_900520345,3
GCA_030998165,2
GCA_900480525,43
GCA_032490155,191
GCA_900195555,95
GCA_900479955,42
GCA_904809755,21
GCA_904809925,38
GCA_034265375,2
GCA_030991405,7
GCA_900481055,60
GCA_904810075,84
GCA_033344195,104
GCA_030346285,52
GCA_900478515,102
GCA_900479645,107
GCA_900478625,66
GCA_032290965,128
GCA_900196395,95
GCA_900479875,86
GCA_900166685,165
GCA_900110665,78
GCA_900635205,1
GCA_905330295,5
GCA_033843505,20
GCA_900479335,33
GCA_032291025,158
GCA_030717485,1
GCA_900490115,76
GCA_904809765,132
GCA_900478815,47
GCA_030346725,25
GCA_900480295,63
GCA_900479655,50
GCA_963575355,4
GCA_963575415,6
GCA_902703225,298
GCA_900016015,315
GCA_900479975,135
GCA_030346345,17
GCA_900520305,3
GCA_900479355,72
GCA_900196255,53
GCA_900481275,79
GCA_900490265,38
GCA_900481145,86
GCA_904864635,5
GCA_030708295,2
GCA_905219285,6
GCA_900478775,127
GCA_900520285,2
GCA_963575575,5
GCA_032354275,6
GCA_900479005,63
GCA_030438455,4
GCA_904810515,112
GCA_900497455,3
GCA_900636235,1
GCA_032359195,2
GCA_929616755,67
GCA_900479205,147
GCA_031193735,167
GCA_031193375,227
GCA_904809545,88
GCA_900478595,92
GCA_032747415,169
GCA_032297255,4
GCA_033341555,156
GCA_902164375,135
GCA_030384805,3
GCA_030988725,4
GCA_032336635,89
GCA_034644215,3
GCA_900195755,29
GCA_900479145,73
GCA_032375265,9
GCA_900186905,1
GCA_900636295,1
GCA_902163555,198
GCA_900481105,55
GCA_900478565,53
GCA_030515195,6
GCA_032291005,118
GCA_030995165,8
GCA_033341095,132
GCA_032336475,598
GCA_900478355,83
GCA_900236045,85
GCA_900481245,74
GCA_900478895,77
GCA_910738255,1
GCA_900480665,56
GCA_032681125,1
GCA_904842255,37
GCA_034365645,108
GCA_900478705,93
GCA_902810285,1
GCA_030389275,5
GCA_904842575,39
GCA_904842285,24
GCA_904810025,34
GCA_900481295,79
GCA_900479345,151
GCA_033899145,114
GCA_900482025,40
GCA_900481925,106
GCA_032336295,97
GCA_031532805,2
GCA_033843565,15
GCA_900636195,1
GCA_900478965,50
GCA_032747435,227
GCA_900480495,85
GCA_900480615,56
GCA_900479675,55
GCA_955652485,3
GCA_030515175,2
GCA_900093845,285
GCA_900478555,76
GCA_032375125,3
GCA_900480125,62
GCA_902810345,1
GCA_904842595,37
GCA_030732575,147
GCA_900479315,66
GCA_900480805,40
GCA_904842245,72
GCA_033899205,131
GCA_033341195,185
GCA_034640615,1
GCA_900481015,65
GCA_900482375,75
GCA_900480595,72
GCA_030389235,4
GCA_900196185,96
GCA_902810395,1
GCA_902161215,77
GCA_900490325,122
GCA_032744915,163
GCA_900481485,76
GCA_900149875,1
GCA_900479225,52
GCA_905330545,4
GCA_904711265,5
GCA_900479755,143
GCA_034643695,2
GCA_963556685,184
GCA_900195905,95
GCA_900482365,53
GCA_032336325,787
GCA_031824955,203
GCA_030717505,2
GCA_031357065,2
GCA_033899125,172
GCA_030991425,4
GCA_032745815,233
GCA_032747275,163
GCA_031193765,163
GCA_032490075,116
GCA_032291085,173
GCA_900497415,5
GCA_032336185,89
GCA_033395675,4
GCA_030413765,4
GCA_900622635,3
GCA_900196245,129
GCA_900480635,52
GCA_904842605,96
GCA_031852355,1
GCA_035064365,124
GCA_030347095,3
GCA_031545925,1
GCA_900196175,148
GCA_033684405,103
GCA_900480015,65
GCA_900480515,48
GCA_963575425,3
GCA_031547025,1
GCA_030347115,2
GCA_900479085,98
GCA_032295145,6
GCA_900479515,51
GCA_031541485,3
GCA_963575505,7
GCA_033341495,164
GCA_900490275,92
GCA_902164685,1
GCA_900479695,87
GCA_900478335,91
GCA_033400515,4
GCA_949786305,3
GCA_904810265,18
GCA_900039545,133
GCA_900636175,1
GCA_032298115,2
GCA_900478975,59
GCA_031210105,3
GCA_905071865,6
GCA_900479265,84
GCA_032290885,460
GCA_900479505,71
GCA_904865655,6
GCA_900174625,4
GCA_963693385,4
GCA_902164225,69
GCA_033341455,150
GCA_031082965,126
GCA_033802305,84
GCA_032365155,4
GCA_031536885,3
GCA_031533645,2
GCA_033970845,2
GCA_034365505,169
GCA_900196515,112
GCA_900480705,61
GCA_032375165,7
GCA_032386315,5
GCA_031852315,1
GCA_030438435,3
GCA_900482055,74
GCA_929615225,63
GCA_033802445,8
GCA_030708315,1
GCA_910665115,1
GCA_030345555,1
GCA_033344165,154
GCA_900196115,108
GCA_900044045,147
GCA_033401435,2
GCA_900479325,43
GCA_900481455,72
GCA_030347135,2
GCA_902810295,1
GCA_030995185,4
GCA_030501455,2
GCA_030347195,3
GCA_910664805,1
GCA_904831825,3
GCA_900478645,83
GCA_900636785,1
GCA_963556555,179
GCA_904809685,43
GCA_900196035,149
GCA_900195785,94
GCA_900480145,80
GCA_905330145,3
GCA_032745775,167
GCA_904831835,3
