Genome,Contig_number
GCA_005040005,81
GCA_005381785,82
GCA_004924255,3
GCA_005043015,82
GCA_005391165,194
GCA_005014055,4
GCA_005040245,111
GCA_005039015,123
GCA_005045235,90
GCA_004284715,116
GCA_005043805,134
GCA_003956325,3
GCA_003956385,2
GCA_005394865,133
GCA_004282515,106
GCA_005387965,102
GCA_005395445,136
GCA_005390025,147
GCA_003859195,91
GCA_004100585,43
GCA_004567115,72
GCA_005042255,86
GCA_004121005,158
GCA_005045845,133
GCA_005392345,108
GCA_005037715,2
GCA_005392405,135
GCA_005045155,154
GCA_004380535,112
GCA_005222405,2
GCA_005385745,108
GCA_005392975,98
GCA_005040445,111
GCA_005394045,151
GCA_005040305,93
GCA_005043395,139
GCA_005046505,127
GCA_005221985,3
GCA_004283715,127
GCA_005038265,90
GCA_005392065,208
GCA_005393205,112
GCA_004138625,1
GCA_005390425,275
GCA_005040545,113
GCA_005040945,124
GCA_005396165,108
GCA_005222325,2
GCA_005387525,122
GCA_005389185,109
GCA_005384725,66
GCA_005385105,385
GCA_005391405,84
GCA_005384665,132
GCA_004380355,66
GCA_004380735,124
GCA_005390865,125
GCA_005392545,152
GCA_005382945,64
GCA_004569675,101
GCA_004960095,109
GCA_003858825,240
GCA_003945445,1
GCA_005386025,89
GCA_005391565,60
GCA_004804095,137
GCA_004284245,119
GCA_005396325,110
GCA_003885095,54
GCA_005043825,135
GCA_005390945,129
GCA_005384745,113
GCA_005396265,96
GCA_005382445,106
GCA_005383105,2
GCA_005384905,406
GCA_004284455,74
GCA_005391645,83
GCA_005037795,2
GCA_005387505,80
GCA_005043465,132
GCA_005387565,74
GCA_005222305,3
GCA_005395985,112
GCA_004960945,100
GCA_005382165,89
GCA_005392185,61
GCA_004960485,131
GCA_005043615,180
GCA_004567185,108
GCA_004282685,97
GCA_005389965,82
GCA_004377955,117
GCA_005384605,92
GCA_004567285,122
GCA_005042895,190
GCA_004960725,127
GCA_004358945,1
GCA_005392825,189
GCA_003966795,2
GCA_004116835,1
GCA_004960195,86
GCA_005041785,213
GCA_005393245,100
GCA_005390465,132
GCA_005389465,188
GCA_005042175,111
GCA_005387945,150
GCA_005392225,184
GCA_005384625,78
GCA_005382905,51
GCA_004299805,2
GCA_005393365,197
GCA_005395045,137
GCA_003999795,7
GCA_005396285,93
GCA_005043145,135
GCA_005385405,377
GCA_005221745,3
GCA_004283295,144
GCA_004283935,186
GCA_005045115,160
GCA_005392865,149
GCA_005394905,179
GCA_005395585,205
GCA_005040975,102
GCA_005045475,142
GCA_005385865,133
GCA_003858905,702
GCA_004566715,85
GCA_005038345,116
GCA_005393885,136
GCA_005386565,82
GCA_005221885,2
GCA_005382585,76
GCA_005388865,129
GCA_005042705,85
GCA_003956285,4
GCA_005393625,214
GCA_003956205,3
GCA_004211775,59
GCA_005393765,62
GCA_005396225,1
GCA_005042935,154
GCA_005386765,108
GCA_005040355,145
GCA_005395625,194
GCA_004380425,74
GCA_005382965,42
GCA_005221525,3
GCA_005391925,59
GCA_005040425,127
GCA_005390265,84
GCA_005041345,128
GCA_005382565,58
GCA_005040145,183
GCA_004116695,3
GCA_003938585,157
GCA_004961035,132
GCA_004567405,119
GCA_004010715,2
GCA_005221665,3
GCA_004804015,54
GCA_005388725,139
GCA_004380335,172
GCA_005385565,107
GCA_005040835,78
GCA_005381745,86
GCA_005391485,71
GCA_005393345,97
GCA_005037905,103
GCA_004960835,88
GCA_005044735,151
GCA_005385285,345
GCA_004960255,76
GCA_005041585,171
GCA_005041035,87
GCA_005383885,102
GCA_005044635,101
GCA_004283535,81
GCA_005390185,121
GCA_004567415,115
GCA_005393265,109
GCA_005042235,71
GCA_005386505,89
GCA_005038655,141
GCA_004101115,121
GCA_005391865,117
GCA_004961045,88
GCA_005038705,166
GCA_005037815,3
GCA_005221845,3
GCA_005392425,119
GCA_005045315,107
GCA_005388645,135
GCA_005041865,80
GCA_005385545,105
GCA_004355105,1
GCA_005388565,143
GCA_005044555,85
GCA_005045995,179
GCA_004801785,91
GCA_004172575,154
GCA_005392845,230
GCA_005221905,5
GCA_005381685,81
GCA_005384465,74
GCA_005395025,150
GCA_004960825,122
GCA_005389045,137
GCA_004380225,155
GCA_004282495,83
GCA_004028195,159
GCA_004566765,100
GCA_005390385,248
GCA_005043415,132
GCA_005043475,131
GCA_005384785,142
GCA_005389925,97
GCA_004960605,118
GCA_005046865,109
GCA_005383805,110
GCA_005391525,54
GCA_004100725,103
GCA_005396805,139
GCA_005044925,135
GCA_005388665,156
GCA_004960225,162
GCA_005382205,119
GCA_004380645,94
GCA_005386005,106
GCA_005043715,96
GCA_005046225,158
GCA_005233995,74
GCA_004568035,86
GCA_004101275,104
GCA_005043565,182
GCA_005382925,99
GCA_005390225,99
GCA_005390925,116
GCA_005393565,134
GCA_005041395,118
GCA_004193755,7
GCA_004566835,86
GCA_004172065,250
