Genome,Contig_number
GCA_001615195,60
GCA_000785325,96
GCA_000831565,2
GCA_001286105,163
GCA_001286325,151
GCA_002286435,226
GCA_002166535,163
GCA_002109865,36
GCA_001030365,8
GCA_000780415,65
GCA_001576025,63
GCA_001677515,2
GCA_000779585,90
GCA_000974405,1
GCA_002163935,2
GCA_000781695,125
GCA_001607415,110
GCA_001285125,202
GCA_001891615,237
GCA_002166375,123
GCA_001309995,189
GCA_002245085,4
GCA_001186315,127
GCA_001283605,162
GCA_001616045,116
GCA_000987875,1
GCA_001286065,106
GCA_001281885,217
GCA_002259555,4
GCA_001645235,3
GCA_001054095,151
GCA_002165115,7
GCA_002207505,235
GCA_001286685,131
GCA_001900885,1
GCA_001753565,2
GCA_002286445,183
GCA_001683435,1
GCA_000778725,62
GCA_002270155,126
GCA_001077955,48
GCA_001606515,184
GCA_002244705,14
GCA_002156825,3
GCA_000782575,96
GCA_002207065,79
GCA_002166075,173
GCA_002164645,5
GCA_002244015,11
GCA_001890325,2
GCA_002192295,4
GCA_002180135,5
GCA_001284965,169
GCA_001892565,158
GCA_001563405,197
GCA_002087815,6
GCA_002286545,212
GCA_002247905,19
GCA_001309885,225
GCA_002310555,4
GCA_001576465,109
GCA_001262795,108
GCA_001900335,1
GCA_001892445,150
GCA_001076105,203
GCA_001607875,280
GCA_000781255,55
GCA_002243755,9
GCA_001285585,142
GCA_000781005,98
GCA_001753525,2
GCA_001030585,13
GCA_001575275,85
GCA_001660565,3
GCA_002165055,143
GCA_001900295,1
GCA_001576205,113
GCA_001900655,2
GCA_001893155,283
GCA_001616535,68
GCA_001566615,2
GCA_002270255,135
GCA_002164635,4
GCA_000801185,2
GCA_002215095,2
GCA_001874485,4
GCA_000965575,216
GCA_001900905,1
GCA_001645225,4
GCA_002110555,79
GCA_000780695,87
GCA_002243925,13
GCA_000780455,94
GCA_002166025,226
GCA_001286245,83
GCA_001277715,159
GCA_001297995,221
GCA_002056065,3
GCA_000965565,239
GCA_001888075,5
GCA_000988425,1
GCA_000780535,131
GCA_000782055,182
GCA_001309925,197
GCA_002245095,20
GCA_001576235,70
GCA_001283805,219
GCA_001285565,74
GCA_001695515,2
GCA_001281795,243
GCA_000779895,88
GCA_000781235,69
GCA_002125925,2
GCA_002310735,6
GCA_001607105,215
GCA_002223845,59
GCA_000779155,100
GCA_001284385,96
GCA_000782255,100
GCA_000779795,99
GCA_002207625,146
GCA_000782715,127
GCA_001651945,2
GCA_002317695,106
GCA_000781775,98
GCA_001606895,129
GCA_000966935,146
GCA_002244455,5
GCA_001283225,124
GCA_002206685,70
GCA_001891625,211
GCA_000965715,210
GCA_000781275,123
GCA_002244205,9
GCA_002110225,137
GCA_002244605,12
GCA_002166405,151
GCA_002246595,12
GCA_002109655,38
GCA_001576015,123
GCA_000830035,1
GCA_002244465,26
GCA_001708145,102
GCA_001997075,83
GCA_002285755,2
GCA_001575695,94
GCA_002243765,7
GCA_001615375,66
GCA_001616205,40
GCA_002379265,18
GCA_001970035,82
GCA_002006525,117
GCA_001280345,6
GCA_002223465,89
GCA_001865915,58
GCA_001900495,2
GCA_000778685,91
GCA_001677475,3
GCA_001677865,123
GCA_000782595,86
GCA_001648915,59
GCA_000779975,154
GCA_000988385,1
GCA_000965635,181
GCA_001900415,1
GCA_001891785,221
GCA_002163195,12
GCA_001277515,152
GCA_002166175,195
GCA_001039215,38
GCA_002244535,10
GCA_002154075,116
GCA_001283945,107
GCA_001891315,205
GCA_000803705,2
GCA_001277615,170
GCA_000779715,60
GCA_001891285,147
GCA_001677695,117
GCA_001030285,8
GCA_002245055,13
GCA_001012005,163
GCA_002109905,17
GCA_001609315,135
