Genome,Contig_number
GCA_002970995,41
GCA_002971775,60
GCA_003009435,110
GCA_003112165,3
GCA_003112205,4
GCA_003357345,181
GCA_002765715,298
GCA_003358185,183
GCA_003303545,157
GCA_002953035,1
GCA_002971255,86
GCA_002859105,3
GCA_002941765,129
GCA_003009725,123
GCA_003318375,215
GCA_002735065,289
GCA_002971435,57
GCA_003018575,2
GCA_003357365,158
GCA_002766015,390
GCA_003291385,135
GCA_002941225,141
GCA_003019175,2
GCA_002855695,125
GCA_002923655,285
GCA_003303855,100
GCA_003290205,4
GCA_003293125,151
GCA_003291515,123
GCA_003017935,2
GCA_003030025,3
GCA_002634895,5
GCA_002770355,351
GCA_002764215,299
GCA_003009035,181
GCA_003123565,202
GCA_002768755,364
GCA_003813145,6
GCA_002734925,311
GCA_003307135,226
GCA_003571665,3
GCA_002973415,89
GCA_002766595,337
GCA_003073875,4
GCA_002927665,194
GCA_003291255,85
GCA_003018115,2
GCA_002973395,77
GCA_002765335,301
GCA_003095635,1
GCA_002769115,300
GCA_003017805,3
GCA_003357965,195
GCA_002971795,87
GCA_003018335,3
GCA_003018035,2
GCA_002971835,80
GCA_003344465,6
GCA_003024395,125
GCA_003546975,3
GCA_002765355,308
GCA_003304545,139
GCA_003018995,1
GCA_003730515,49
GCA_003293415,137
GCA_003043915,1
GCA_003018455,3
GCA_003292305,163
GCA_002941425,128
GCA_003290945,110
GCA_003357945,56
GCA_003686845,160
GCA_003304785,102
GCA_002953075,1
GCA_002573305,138
GCA_002951755,3
GCA_002972015,131
GCA_002769515,317
GCA_002924105,325
GCA_003303655,169
GCA_002765595,321
GCA_003243565,124
GCA_002861265,70
GCA_002765695,333
GCA_003186665,155
GCA_003301515,140
GCA_002770315,298
GCA_002972815,155
GCA_002972655,140
GCA_002768285,312
GCA_002766495,318
GCA_003018295,3
GCA_002766275,355
GCA_002899475,1
GCA_003293445,274
GCA_003346855,12
GCA_002766355,302
GCA_003338405,93
GCA_003301475,47
GCA_002972955,113
GCA_003300975,32
GCA_002973335,88
GCA_002764775,371
GCA_003399895,2
GCA_002442195,139
GCA_002923615,298
GCA_003018415,4
GCA_002971355,156
GCA_002766195,327
GCA_003018215,2
GCA_003307035,193
GCA_002764155,6
GCA_003586045,4
GCA_002971315,84
GCA_003073955,2
GCA_002770435,350
GCA_002769155,239
GCA_003290835,134
GCA_002765735,312
GCA_002941785,152
GCA_002769695,346
GCA_002765295,276
GCA_002734885,343
GCA_002811725,223
GCA_003304775,278
GCA_002741495,3
GCA_002870165,3
GCA_003176855,3
GCA_003143575,206
GCA_002951675,2
GCA_003338805,243
GCA_003570765,2
GCA_003856575,5
GCA_003303045,166
GCA_002972735,151
GCA_003112185,2
GCA_003292915,139
GCA_002768195,265
GCA_002766555,346
GCA_003307155,265
GCA_003358995,175
GCA_002853965,4
GCA_003018475,2
GCA_002844165,2
GCA_003730705,65
GCA_002971335,140
GCA_003302435,193
GCA_003024375,124
GCA_003073815,6
GCA_002770155,317
GCA_003243635,169
GCA_002806745,5
GCA_003290525,133
GCA_002767015,275
GCA_002810125,102
GCA_002573465,136
GCA_002966755,1
GCA_002863885,3
GCA_003358935,133
GCA_002930405,211
GCA_003358415,97
GCA_002972595,65
GCA_002741515,3
GCA_003290775,121
GCA_002765235,344
GCA_003357295,159
GCA_002769855,363
GCA_003427625,83
GCA_002764435,286
GCA_002764475,272
GCA_002741235,3
GCA_002766575,311
GCA_002764975,326
GCA_002941245,140
GCA_003018795,3
GCA_003024295,127
GCA_003795615,125
GCA_002972935,57
GCA_002764355,331
GCA_002764235,255
GCA_003850625,133
GCA_003591375,189
GCA_003018855,3
GCA_002765315,281
