Genome,Contig_number
GCA_000692535,11
GCA_000752135,237
GCA_000776815,54
GCA_000155125,2
GCA_000351665,15
GCA_000164575,86
GCA_000488315,114
GCA_000176535,38
GCA_000408265,11
GCA_000459035,5
GCA_000616425,178
GCA_000777815,88
GCA_000616705,175
GCA_000352405,4
GCA_000303295,448
GCA_000026325,3
GCA_000753315,97
GCA_000777895,127
GCA_000460915,16
GCA_000457185,7
GCA_000459115,3
GCA_000457835,19
GCA_000457855,18
GCA_000460215,13
GCA_000352045,11
GCA_000461595,10
GCA_000615415,220
GCA_000488655,185
GCA_000458745,23
GCA_000692715,12
GCA_000493595,4
GCA_000776995,135
GCA_000458875,18
GCA_000616305,197
GCA_000461815,16
GCA_000618705,198
GCA_000692555,11
GCA_000494995,14
GCA_000692695,15
GCA_000407965,18
GCA_000008865,3
GCA_000461075,13
GCA_000488415,125
GCA_000303835,539
GCA_000616135,193
GCA_000460715,6
GCA_000622755,212
GCA_000614215,198
GCA_000458765,11
GCA_000457165,14
GCA_000408285,18
GCA_000418735,166
GCA_000267765,429
GCA_000458235,11
GCA_000458495,8
GCA_000614885,182
GCA_000488075,12
GCA_000316365,427
GCA_000752915,277
GCA_000351525,4
GCA_000233895,1
GCA_000618245,193
GCA_000303495,425
GCA_000457795,14
GCA_000261385,13
GCA_000351125,12
GCA_000460055,16
GCA_000304055,372
GCA_000471165,414
GCA_000622595,269
GCA_000316405,360
GCA_000458315,9
GCA_000459815,8
GCA_000026285,2
GCA_000220005,6
GCA_000351585,20
GCA_000267285,422
GCA_000617365,106
GCA_000352805,9
GCA_000690815,2
GCA_000456605,19
GCA_000019425,1
GCA_000351225,16
GCA_000351285,7
GCA_000460835,21
GCA_000616005,195
GCA_000617805,203
GCA_000776675,30
GCA_000520055,3
GCA_000459175,11
GCA_000457755,10
GCA_000456365,26
GCA_000461575,8
GCA_000418655,227
GCA_000456385,16
GCA_000776855,114
GCA_000352205,6
GCA_000006665,2
GCA_000010485,2
GCA_000776455,113
GCA_000752455,121
GCA_000352225,5
GCA_000303375,394
GCA_000163175,44
GCA_000461335,9
GCA_000507685,7
GCA_000488115,17
GCA_000616445,173
GCA_000458475,9
GCA_000616585,160
GCA_000471525,402
GCA_000303755,352
GCA_000777415,102
GCA_000233875,1
GCA_000618165,187
GCA_000303895,427
GCA_000352825,5
GCA_000776335,171
GCA_000617565,190
GCA_000770285,114
GCA_000488795,164
GCA_000219515,4
GCA_000457325,10
GCA_000460475,16
GCA_000460315,3
GCA_000460515,13
GCA_000619685,209
GCA_000461475,14
GCA_000303515,391
GCA_000617605,186
GCA_000459015,12
GCA_000352365,7
GCA_000599685,1
GCA_000352125,3
GCA_000461755,9
GCA_000778335,123
GCA_000164375,190
GCA_000457285,5
GCA_000026245,1
GCA_000778235,79
GCA_000408545,5
GCA_000622445,273
GCA_000619045,221
GCA_000458335,13
GCA_000616075,190
GCA_000456245,29
GCA_000457025,13
GCA_000456425,7
GCA_000457915,17
GCA_000778465,88
GCA_000460595,11
GCA_000460875,13
GCA_000457675,13
GCA_000458785,56
GCA_000352445,2
GCA_000267905,512
GCA_000459875,11
GCA_000316765,334
GCA_000617245,190
GCA_000614345,216
GCA_000617705,176
GCA_000351705,6
GCA_000022665,1
GCA_000352105,4
GCA_000622795,290
GCA_000458055,4
GCA_000351205,7
GCA_000488095,7
GCA_000777455,97
GCA_000407685,8
GCA_000778545,54
GCA_000267785,423
GCA_000776775,128
GCA_000164615,67
GCA_000305435,384
GCA_000459895,11
GCA_000457815,14
GCA_000164335,107
GCA_000731455,27
GCA_000456845,9
GCA_000159295,105
GCA_000458195,3
GCA_000408125,16
GCA_000750555,1
GCA_000353085,7
GCA_000267365,352
GCA_000164495,105
GCA_000352745,5
GCA_000303775,419
GCA_000408145,16
GCA_000017985,1
GCA_000622505,239
GCA_000457575,17
GCA_000352465,3
GCA_000616405,196
GCA_000303315,465
GCA_000352785,5
GCA_000488715,162
GCA_000616545,170
GCA_000494955,9
GCA_000026265,1
GCA_000461455,8
GCA_000459775,9
GCA_000352545,3
GCA_000778015,77
GCA_000619665,208
GCA_000456785,10
GCA_000633655,97
GCA_000351365,5
GCA_000776635,42
GCA_000457225,24
GCA_000164435,155
GCA_000316465,361
GCA_000777475,155
GCA_000458685,12
GCA_000458135,12
GCA_000461495,5
GCA_000458955,2
GCA_000507665,9
GCA_000456525,7
GCA_000464955,2
GCA_000753135,155
GCA_000607285,18
GCA_000488335,158
GCA_000777535,66
GCA_000617125,250
GCA_000303415,399
GCA_000351165,5
GCA_000622735,304
GCA_000457265,9
GCA_000148605,2
GCA_000619205,195
GCA_000227625,5
GCA_000618925,182
GCA_000471245,392
GCA_000408305,6
GCA_000456025,19
GCA_000776235,62
GCA_000352345,2
GCA_000776195,70
GCA_000457405,7
GCA_000407825,5
GCA_000619085,193
GCA_000267885,386
GCA_000267505,536
GCA_000456445,7
GCA_000615655,202
GCA_000752255,285
GCA_000027125,2
GCA_000456985,10
GCA_000457345,18
GCA_000752735,217
GCA_000461415,7
GCA_000241975,39
GCA_000777375,103
GCA_000458115,10
GCA_000777025,92
GCA_000408205,6
GCA_000752655,243
GCA_000316325,486
GCA_000617665,181
GCA_000618105,177
GCA_000618145,216
GCA_000456865,6
GCA_000158395,31
GCA_000458555,13
GCA_000614845,279
GCA_000459735,23
GCA_000183345,2
GCA_000752535,169
GCA_000352185,4
GCA_000408185,7
GCA_000692435,6
GCA_000614405,182
GCA_000351465,29
GCA_000316805,359
GCA_000303715,349
GCA_000352505,6
GCA_000614305,194
GCA_000353025,3
GCA_000488455,273
GCA_000458435,16
GCA_000184185,3
GCA_000615455,206
GCA_000459315,14
GCA_000304075,206
GCA_000459755,15
GCA_000353145,4
GCA_000460755,19
GCA_000459535,11
GCA_000176555,83
GCA_000459975,10
GCA_000267485,487
GCA_000617285,208
GCA_000616605,185
GCA_000408745,15
GCA_000457245,12
GCA_000460995,14
GCA_000776615,98
GCA_000351025,9
GCA_000752635,176
GCA_000303875,411
GCA_000614595,199
GCA_000351145,15
GCA_000488435,182
GCA_000485715,148
GCA_000778375,97
GCA_000692595,15
GCA_000303695,354
GCA_000353165,3
GCA_000456545,14
GCA_000777495,142
GCA_000488775,144
GCA_000352325,4
GCA_000259695,37
GCA_000692835,8
GCA_000303235,507
GCA_000777845,133
GCA_000351445,6
GCA_000025745,1
GCA_000461775,9
GCA_000353045,9
GCA_000303995,350
GCA_000267345,399
GCA_000023665,1
GCA_000692635,16
GCA_000522365,6
GCA_000267945,438
GCA_000351785,16
GCA_000459195,8
GCA_000458095,24
GCA_000181755,8
GCA_000303335,410
GCA_000458155,4
GCA_000617345,192
GCA_000458515,5
GCA_000461315,8
GCA_000459935,8
GCA_000614565,250
GCA_000267005,486
GCA_000616225,202
GCA_000458355,23
GCA_000267385,393
GCA_000468515,1
GCA_000460095,16
GCA_000211395,5
GCA_000190955,66
GCA_000618265,191
GCA_000351825,11
GCA_000619065,156
GCA_000350805,6
GCA_000457935,8
GCA_000303255,135
GCA_000671295,3
GCA_000190795,32
GCA_000461795,36
GCA_000247665,64
GCA_000456265,23
GCA_000458455,26
GCA_000616645,189
GCA_000753215,184
GCA_000303595,382
GCA_000459155,13
GCA_000619125,202
GCA_000458895,7
GCA_000618285,190
GCA_000778355,70
GCA_000622855,271
GCA_000471425,408
GCA_000692815,13
GCA_000456505,10
GCA_000777975,153
GCA_000488155,13
GCA_000351245,11
GCA_000350885,25
GCA_000456905,8
GCA_000458075,5
GCA_000459695,20
GCA_000752315,99
GCA_000457005,23
GCA_000622555,262
GCA_000013305,1
GCA_000617985,159
GCA_000459555,13
GCA_000010745,2
GCA_000459795,6
GCA_000025165,2
GCA_000618725,187
GCA_000352945,4
GCA_000459995,11
GCA_000460895,7
GCA_000316445,369
GCA_000351845,10
GCA_000408685,10
GCA_000418615,225
GCA_000316345,400
GCA_000459095,10
GCA_000457475,12
GCA_000305455,363
GCA_000458975,8
GCA_000456065,15
GCA_000459355,18
GCA_000752695,161
GCA_000753195,89
GCA_000776535,128
GCA_000495055,7
GCA_000353105,5
GCA_000267225,486
GCA_000777435,126
GCA_000351405,10
GCA_000457635,18
GCA_000364305,11
GCA_000351105,8
GCA_000194255,36
GCA_000485675,112
GCA_000456725,11
GCA_000459675,6
GCA_000777065,54
GCA_000022345,1
GCA_000181775,4
GCA_000692675,14
GCA_000418595,163
GCA_000615225,221
GCA_000351085,9
GCA_000415485,410
GCA_000616345,464
GCA_000471505,398
GCA_000458395,13
GCA_000461635,17
GCA_000777995,129
GCA_000353125,9
GCA_000776065,93
GCA_000457065,6
GCA_000777675,102
GCA_000407885,7
GCA_000618905,4
GCA_000459655,20
GCA_000316425,369
GCA_000258635,5
GCA_000459215,14
GCA_000303655,224
GCA_000408725,19
GCA_000617545,216
GCA_000494975,19
GCA_000326905,108
GCA_000418635,213
GCA_000488475,174
GCA_000176615,43
GCA_000617445,181
GCA_000622465,265
GCA_000776395,98
GCA_000615925,181
GCA_000730345,3
GCA_000619745,196
GCA_000778395,99
GCA_000459455,18
GCA_000303815,429
GCA_000351565,7
GCA_000456945,6
GCA_000459235,4
GCA_000157115,12
GCA_000599625,1
GCA_000458275,14
GCA_000408665,6
GCA_000019385,1
GCA_000777605,132
GCA_000331615,37
GCA_000617265,191
GCA_000614765,205
GCA_000407805,27
GCA_000461735,15
GCA_000632575,274
GCA_000692775,7
GCA_000351725,8
GCA_000316745,115
GCA_000190915,64
GCA_000457655,11
GCA_000459855,12
GCA_000460975,13
GCA_000461875,13
GCA_000317395,33
GCA_000190835,34
GCA_000488835,103
GCA_000522325,5
GCA_000488595,179
GCA_000459415,23
GCA_000408165,13
GCA_000777555,88
GCA_000461555,13
GCA_000190995,45
GCA_000460355,8
GCA_000456165,8
GCA_000778475,90
GCA_000461135,26
GCA_000517165,79
GCA_000013265,2
GCA_000614805,204
GCA_000305355,116
GCA_000457695,20
GCA_000407785,11
GCA_000776155,155
GCA_000303935,424
GCA_000463605,7
GCA_000352565,5
GCA_000326965,115
GCA_000618205,112
GCA_000492655,24
GCA_000458295,49
GCA_000026545,3
GCA_000458575,15
GCA_000495015,13
GCA_000778315,72
GCA_000303475,393
GCA_000407705,10
GCA_000778275,61
GCA_000456625,8
GCA_000458725,14
GCA_000461675,15
GCA_000460235,28
GCA_000458375,6
GCA_000461055,20
GCA_000460415,18
GCA_000261405,10
GCA_000460795,12
GCA_000456665,8
GCA_000457555,6
GCA_000615815,197
GCA_000471085,412
GCA_000456885,18
GCA_000617485,190
GCA_000457435,15
GCA_000777625,133
GCA_000351045,13
GCA_000615865,191
GCA_000350625,14
GCA_000457145,14
GCA_000617005,193
GCA_000461255,9
GCA_000456585,16
GCA_000456185,23
GCA_000351485,15
GCA_000459435,6
GCA_000352965,8
GCA_000164475,141
GCA_000267645,433
GCA_000692475,9
GCA_000408425,23
GCA_000017765,1
GCA_000408445,14
GCA_000418715,126
GCA_000210475,5
GCA_000461195,10
GCA_000459955,10
GCA_000163235,49
GCA_000776175,190
GCA_000408225,18
GCA_000352165,3
GCA_000270105,1
GCA_000408485,14
GCA_000459515,19
GCA_000615695,183
GCA_000496995,287
GCA_000267405,437
GCA_000617525,174
GCA_000242035,40
GCA_000778215,75
GCA_000457305,13
GCA_000616725,191
GCA_000351505,11
GCA_000776745,69
GCA_000471405,417
GCA_000460015,10
GCA_000459275,16
GCA_000091005,5
GCA_000176675,82
GCA_000776035,96
GCA_000303355,417
GCA_000616465,179
GCA_000408065,20
GCA_000461855,11
GCA_000616505,178
GCA_000776655,68
GCA_000352985,5
GCA_000778035,77
GCA_000176575,67
GCA_000619265,203
GCA_000418755,152
GCA_000242055,75
GCA_000457515,23
GCA_000499485,1
GCA_000753115,111
GCA_000350645,10
GCA_000352605,7
GCA_000752835,66
GCA_000618045,194
GCA_000458605,17
GCA_000456645,21
GCA_000778105,101
GCA_000456285,14
GCA_000615965,208
GCA_000163215,50
GCA_000776115,43
GCA_000010385,7
GCA_000465135,6
GCA_000617725,178
GCA_000459575,21
GCA_000459335,5
GCA_000460435,12
GCA_000305175,124
GCA_000614035,195
GCA_000350945,8
GCA_000456965,14
GCA_000352645,7
GCA_000457895,22
GCA_000776505,102
GCA_000303275,467
GCA_000164295,152
GCA_000351605,11
GCA_000352765,3
GCA_000304095,208
GCA_000164275,135
GCA_000495095,19
GCA_000692655,7
GCA_000776715,90
GCA_000692895,13
GCA_000408785,5
GCA_000350845,12
GCA_000512625,150
GCA_000753275,134
GCA_000488355,88
GCA_000776795,125
GCA_000622535,270
GCA_000457205,10
GCA_000776565,97
GCA_000461715,17
GCA_000777165,140
GCA_000460935,11
GCA_000752875,187
GCA_000522385,7
GCA_000332755,1
GCA_000007445,1
GCA_000619225,198
GCA_000461615,17
GCA_000350925,9
GCA_000352705,3
GCA_000460175,13
GCA_000692395,2
GCA_000351545,12
GCA_000618305,189
GCA_000303855,400
GCA_000460675,31
GCA_000245515,6
GCA_000753035,61
GCA_000284495,1
GCA_000460855,10
GCA_000776835,164
GCA_000456325,7
GCA_000461275,8
GCA_000458255,10
GCA_000456765,6
GCA_000459395,20
GCA_000456005,10
GCA_000351925,17
GCA_000456925,12
GCA_000461095,9
GCA_000457975,9
GCA_000692575,13
GCA_000458645,21
GCA_000471385,426
GCA_000460695,21
GCA_000752935,140
GCA_000316825,494
GCA_000457455,14
GCA_000352925,4
GCA_000147755,88
GCA_000492275,6
GCA_000303915,472
GCA_000021125,3
GCA_000456805,11
GCA_000352065,4
GCA_000618985,210
GCA_000164535,153
GCA_000776315,65
GCA_000752295,284
GCA_000353185,110
GCA_000458825,9
GCA_000777695,86
GCA_000616265,186
GCA_000459915,4
GCA_000350905,11
GCA_000305155,379
GCA_000597845,1
GCA_000267465,489
GCA_000776925,127
GCA_000778415,70
GCA_000166535,37
GCA_000457535,15
GCA_000407725,9
GCA_000777155,128
GCA_000316885,389
GCA_000316385,522
GCA_000692855,12
GCA_000622875,231
GCA_000017745,7
GCA_000352685,9
GCA_000273425,1
GCA_000461155,13
GCA_000258025,2
GCA_000456105,14
GCA_000616325,193
GCA_000350665,10
GCA_000269645,1
GCA_000352725,3
GCA_000616245,189
GCA_000622675,269
GCA_000326885,173
GCA_000599705,1
GCA_000488755,140
GCA_000617645,194
GCA_000616525,177
GCA_000351885,6
GCA_000457775,12
GCA_000352665,8
GCA_000408705,9
GCA_000460815,11
GCA_000316845,433
GCA_000632635,183
GCA_000458705,15
GCA_000459075,6
GCA_000350865,10
GCA_000614685,229
GCA_000304815,357
GCA_000352245,3
GCA_000304115,184
GCA_000692795,16
GCA_000023365,1
GCA_000350725,17
GCA_000005845,1
GCA_000520035,3
GCA_000352385,8
GCA_000303795,496
GCA_000009565,1
GCA_000776375,72
GCA_000459295,20
GCA_000460555,31
GCA_000303735,402
GCA_000488035,19
GCA_000457595,15
GCA_000622635,293
GCA_000599645,1
GCA_000770275,92
GCA_000241995,95
GCA_000353005,6
GCA_000164595,136
GCA_000351425,11
GCA_000776965,84
GCA_000163195,22
GCA_000461835,9
GCA_000488815,145
GCA_000408245,3
GCA_000461535,2
GCA_000752595,151
GCA_000622575,256
GCA_000457735,12
GCA_000351005,12
GCA_000022225,2
GCA_000752235,111
GCA_000776435,63
GCA_000461695,16
GCA_000351065,10
GCA_000352085,9
GCA_000457385,12
GCA_000459135,8
GCA_000351805,15
GCA_000615745,197
GCA_000488055,8
GCA_000456125,23
GCA_000316785,394
GCA_000488395,149
GCA_000753075,89
GCA_000777945,75
GCA_000461395,8
GCA_000408585,8
GCA_000714595,1
GCA_000458845,19
GCA_000692495,5
GCA_000488735,170
GCA_000457615,12
GCA_000305415,415
GCA_000492235,17
GCA_000351905,6
GCA_000616035,202
GCA_000618945,197
GCA_000488135,19
GCA_000190895,85
GCA_000190815,35
GCA_000352285,4
GCA_000743255,3
GCA_000408505,11
GCA_000352005,10
GCA_000617185,202
GCA_000457715,16
GCA_000164455,127
GCA_000618185,173
GCA_000418695,192
GCA_000459615,12
GCA_000457995,8
GCA_000456225,18
GCA_000488515,167
GCA_000458805,16
GCA_000407945,18
GCA_000352425,8
GCA_000460535,16
GCA_000164255,171
GCA_000471105,419
GCA_000164215,182
GCA_000305375,483
GCA_000316905,293
GCA_000622715,303
GCA_000778565,36
GCA_000285375,60
GCA_000262125,3
GCA_000461375,5
GCA_000408825,13
GCA_000617025,218
GCA_000777135,61
GCA_000408405,17
GCA_000461215,6
