GCA_000010485.1_ASM1048v1_genomic	B2
GCA_000019385.1_ASM1938v1_genomic	A
GCA_000017765.1_ASM1776v1_genomic	A
GCA_000022345.1_ASM2234v1_genomic	A
GCA_000023365.1_ASM2336v1_genomic	A
GCA_000007445.1_ASM744v1_genomic	B2
GCA_000013305.1_ASM1330v1_genomic	B2
GCA_000009565.2_ASM956v1_genomic	A
GCA_000010745.1_ASM1074v1_genomic	B1
GCA_000017985.1_ASM1798v1_genomic	A
GCA_000008865.2_ASM886v2_genomic	E
GCA_000022665.2_ASM2266v1_genomic	A
GCA_000023665.1_ASM2366v1_genomic	A
GCA_000010385.1_ASM1038v1_genomic	B1
GCA_000017745.1_ASM1774v1_genomic	B1
GCA_000013265.1_ASM1326v1_genomic	B2
GCA_000025745.1_ASM2574v1_genomic	B2
GCA_000021125.1_ASM2112v1_genomic	E
GCA_000005845.2_ASM584v2_genomic	A
GCA_000010245.1_ASM1024v1_genomic	A
GCA_000019425.1_ASM1942v1_genomic	A
GCA_000022225.1_ASM2222v1_genomic	E
GCA_000025165.1_ASM2516v1_genomic	E
GCA_000006665.1_ASM666v1_genomic	E
GCA_000026285.2_ASM2628v2_genomic	B2
GCA_000026545.1_ASM2654v1_genomic	B2
GCA_000148605.1_ASM14860v1_genomic	B2
GCA_000026245.1_ASM2624v1_genomic	B1
GCA_000026265.1_ASM2626v1_genomic	B1
GCA_000026345.1_ASM2634v1_genomic	F
GCA_000157115.2_Escherichia_sp_3_2_53FAA_V2_genomic	B2
GCA_000026325.2_ASM2632v2_genomic	D
GCA_000091005.1_ASM9100v1_genomic	B1
GCA_000146735.1_ASM14673v1_genomic	A
GCA_000159295.1_ASM15929v1_genomic	B2
GCA_000148365.1_ASM14836v1_genomic	B2
GCA_000163175.1_ASM16317v1_genomic	E
GCA_000147755.2_ASM14775v1_genomic	B1
GCA_000155125.1_ASM15512v1_genomic	E
GCA_000158395.1_ASM15839v1_genomic	B1
GCA_000163235.1_ASM16323v1_genomic	D
GCA_000163155.1_ASM16315v1_genomic	B1
GCA_000027125.1_ASM2712v1_genomic	D
